Trade dAte,Expiry Date,Put=1 Call=0,Strike x 1000,Bid Price,Ask Price,Volume,Implied Vol,Delta ,Open Interest,Vega
19/06/1997,19/07/1997,0,8.85E+05,28.125,29.125,70,0.20024,0.63612,120,93.226
19/06/1997,19/07/1997,1,8.70E+05,8.25,8.75,105,0.20841,-0.26255,7495,81.036
19/06/1997,19/07/1997,0,8.10E+05,91.625,92.625,5,0.24932,0.94142,815,28.642
19/06/1997,19/07/1997,1,8.65E+05,7.25,7.75,58,0.21264,-0.23519,3396,76.426
19/06/1997,19/07/1997,0,8.95E+05,22.5,23,822,0.19885,0.55823,514,98.034
19/06/1997,19/07/1997,1,7.50E+05,0.1875,0.3125,0,0.2896,-0.009987,2262,6.6202
19/06/1997,19/07/1997,1,7.40E+05,0.25,0.3125,65,0.313,-0.010334,1473,6.8208
19/06/1997,19/07/1997,1,9.25E+05,32,33,2,0.1799,-0.69196,13,87.311
19/06/1997,19/07/1997,1,7.75E+05,0.3125,0.5625,0,0.26383,-0.017956,303,10.985
19/06/1997,19/07/1997,1,7.80E+05,0.625,0.875,0,0.2772,-0.027646,1613,15.808
19/06/1997,19/07/1997,0,9.05E+05,16.625,17.375,1,0.19072,0.47623,27,98.946
19/06/1997,19/07/1997,0,8.15E+05,86.75,87.75,22,0.24128,0.93644,187,30.566
19/06/1997,19/07/1997,0,9.00E+05,19.5,20,7248,0.19454,0.51806,17752,99.006
19/06/1997,19/07/1997,1,8.00E+05,0.8125,1.0625,254,0.24567,-0.03744,6786,20.305
19/06/1997,19/07/1997,0,8.75E+05,35.25,36.25,3,0.20743,0.7038,3278,85.778
19/06/1997,19/07/1997,1,8.95E+05,16.125,16.875,409,0.19562,-0.44007,406,98.012
19/06/1997,19/07/1997,1,7.90E+05,0.75,0.875,7,0.26014,-0.031399,2242,17.571
19/06/1997,19/07/1997,0,7.30E+05,170.12,171.12,0,0.35016,0.98564,100,8.468
19/06/1997,19/07/1997,1,4.00E+05,0,0.125,0,0.97883,-0.000871,475,0.73765
19/06/1997,19/07/1997,1,8.35E+05,2.875,3.25,43,0.22862,-0.10879,7663,46.384
