Date,Open,High,Low,Close,Adj Close,Volume
38530.00,12.73,12.78,12.38,12.52,12.52,0
38531.00,12.31,12.31,11.55,11.58,11.58,0
38532.00,11.54,11.78,11.44,11.77,11.77,0
38533.00,11.72,12.1,11.5,12.04,12.04,0
38534.00,11.75,11.92,11.38,11.4,11.4,0
38538.00,12.41,12.41,11.53,11.68,11.68,0
38539.00,11.67,12.33,11.54,12.27,12.27,0
38540.00,13.91,13.92,12.48,12.49,12.49,0
38541.00,12.24,12.29,11.09,11.45,11.45,0
38544.00,10.96,11.41,10.53,11.28,11.28,0
38545.00,11.03,11.37,10.85,10.95,10.95,0
38546.00,11.09,11.44,10.8,10.84,10.84,0
38547.00,10.87,11.13,10.5,10.81,10.81,0
38548.00,10.61,10.9,10.13,10.33,10.33,0
38551.00,11.09,11.09,10.77,10.77,10.77,0
38552.00,10.63,10.79,10.36,10.45,10.45,0
38553.00,10.8,10.94,9.88,10.23,10.23,0
38554.00,10.23,11.21,10.23,10.97,10.97,0
38555.00,11.01,11.05,10.51,10.52,10.52,0
38558.00,11.12,11.28,10.7,11.1,11.1,0
38559.00,11.11,11.25,10.92,10.99,10.99,0
38560.00,11.03,11.03,10.34,10.36,10.36,0
38561.00,10.4,10.58,10.27,10.52,10.52,0
38562.00,10.24,11.73,10.24,11.57,11.57,0
38565.00,11.75,12.23,11.36,12.08,12.08,0
38566.00,12,12.03,11.69,11.75,11.75,0
38567.00,11.9,12.01,11.62,11.83,11.83,0
38568.00,12.12,12.57,11.99,12.52,12.52,0
38569.00,11.82,12.92,11.82,12.48,12.48,0
38572.00,12.56,13.29,12.56,13.21,13.21,0
38573.00,12.25,12.78,12.24,12.4,12.4,0
38574.00,12.03,12.56,11.51,12.38,12.38,0
38575.00,12.34,12.94,11.88,12.42,12.42,0
38576.00,12.36,12.98,12.18,12.74,12.74,0
38579.00,12.87,12.99,12.08,12.26,12.26,0
38580.00,12.37,13.89,12.28,13.52,13.52,0
38581.00,13.35,13.76,12.78,13.3,13.3,0
38582.00,13.47,13.88,13.01,13.42,13.42,0
38583.00,12.84,13.85,12.61,13.42,13.42,0
38586.00,13.67,13.89,13.2,13.42,13.42,0
38587.00,13.63,14.05,13.3,13.34,13.34,0
38588.00,13.56,14.18,13,14.17,14.17,0
38589.00,13.92,14.12,13.66,13.73,13.73,0
38590.00,13.79,14.2,13.65,13.72,13.72,0
38593.00,14.34,14.41,13.38,13.52,13.52,0
38594.00,13.49,14.18,13.47,13.65,13.65,0
38595.00,13.37,13.63,12.56,12.6,12.6,0
38596.00,12.86,13.37,12.31,13.15,13.15,0
38597.00,13.21,13.72,13.03,13.57,13.57,0
38601.00,14.17,14.18,12.9,12.93,12.93,0
38602.00,13.06,13.2,12.44,12.52,12.52,0
38603.00,12.72,12.94,12.37,12.93,12.93,0
38604.00,12.46,12.65,11.96,11.98,11.98,0
38607.00,11.66,11.89,11.45,11.65,11.65,0
38608.00,11.76,12.48,11.75,12.39,12.39,0
38609.00,12.79,13.26,12.67,12.91,12.91,0
38610.00,12.72,13.17,12.28,12.49,12.49,0
38611.00,11.89,11.93,11.07,11.22,11.22,0
38614.00,12.17,12.46,12.04,12.14,12.14,0
38615.00,12.23,12.96,11.83,12.64,12.64,0
38616.00,13.07,13.91,12.96,13.79,13.79,0
38617.00,13.85,14.39,13.31,13.33,13.33,0
38618.00,13.64,13.88,12.75,12.96,12.96,0
38621.00,13.27,13.47,12.64,13.04,13.04,0
38622.00,13.06,13.46,12.51,12.76,12.76,0
38623.00,12.6,12.98,12.37,12.63,12.63,0
38624.00,12.92,13.23,12.15,12.24,12.24,0
38625.00,12.42,12.44,11.92,11.92,11.92,0
38628.00,12.37,12.62,11.98,12.46,12.46,0
38629.00,12.5,13.21,12.11,13.2,13.2,0
38630.00,13.15,14.58,12.97,14.55,14.55,0
38631.00,14.53,15.63,14.04,14.96,14.96,0
38632.00,14.56,14.82,14.3,14.59,14.59,0
38635.00,14.93,15.61,14.87,15.55,15.55,0
38636.00,15.35,15.7,15.06,15.63,15.63,0
38637.00,15.56,16.27,15.04,16.219999,16.219999,0
38638.00,16.32,17.190001,15.98,16.469999,16.469999,0
38639.00,15.99,16.030001,14.83,14.87,14.87,0
38642.00,15.3,15.3,14.58,14.67,14.67,0
38643.00,14.92,15.4,14.79,15.33,15.33,0
